City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Najran,SA,17.4924,44.1277,65.05,16,1,1.9,clear sky
1,New Norfolk,AU,-42.7826,147.0587,52.66,80,8,2.53,clear sky
2,Conceicao Do Araguaia,BR,-8.2578,-49.2647,83.79,56,96,0.47,overcast clouds
3,Mangrol,IN,21.1167,70.1167,78.66,64,4,5.01,clear sky
4,Bambous Virieux,MU,-20.3428,57.7575,73.22,77,19,12.66,light rain
5,Punta Arenas,CL,-53.15,-70.9167,50.11,62,20,26.46,few clouds
6,Vaini,TO,-21.2,-175.2,77.16,78,20,13.8,few clouds
7,Yellowknife,CA,62.456,-114.3525,40.41,100,90,4.61,mist
8,Ushuaia,AR,-54.8,-68.3,42.46,81,75,31.07,light rain
9,Mataura,NZ,-46.1927,168.8643,60.46,74,92,0.65,moderate rain
10,Barrow,US,71.2906,-156.7887,24.82,86,90,8.05,mist
11,Hithadhoo,MV,-0.6,73.0833,82.9,74,100,17.87,overcast clouds
12,Thompson,CA,55.7435,-97.8558,35.76,93,90,5.75,overcast clouds
13,Diego De Almagro,CL,-26.3667,-70.05,73.0,26,0,8.41,clear sky
14,Butaritari,KI,3.0707,172.7902,82.62,74,30,12.37,scattered clouds
15,Narsaq,GL,60.9167,-46.05,37.62,60,15,6.85,few clouds
16,Araguacu,BR,-12.9306,-49.8264,75.78,88,99,3.56,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,74.39,83,100,18.88,moderate rain
18,Iqaluit,CA,63.7506,-68.5145,31.73,80,75,4.0,broken clouds
19,Hobart,AU,-42.8794,147.3294,53.02,86,0,1.99,clear sky
20,Albany,US,42.6001,-73.9662,56.59,93,100,13.2,overcast clouds
21,Cherbourg,FR,49.6386,-1.6147,59.95,94,75,6.91,broken clouds
22,Busselton,AU,-33.65,115.3333,48.04,93,100,7.16,overcast clouds
23,Dingle,PH,10.9995,122.6711,75.51,93,100,6.11,overcast clouds
24,Atuona,PF,-9.8,-139.0333,77.45,69,5,14.58,clear sky
25,Nuqui,CO,5.7125,-77.2708,79.25,86,97,6.67,light rain
26,Tasiilaq,GL,65.6145,-37.6368,35.76,85,100,6.49,light rain
27,Qaanaaq,GL,77.484,-69.3632,18.79,94,100,14.14,light snow
28,Karasburg,NA,-28.0167,18.75,69.01,29,11,15.03,few clouds
29,College,US,64.8569,-147.8028,31.95,91,90,0.0,mist
30,Yulara,AU,-25.2406,130.9889,71.44,56,41,4.61,scattered clouds
31,Geraldton,AU,-28.7667,114.6,61.21,72,90,20.71,overcast clouds
32,Biltine,TD,14.5333,20.9167,83.48,16,18,8.59,few clouds
33,Strezhevoy,RU,60.7333,77.5889,24.78,85,99,20.74,overcast clouds
34,Kharp,RU,66.8014,65.8081,15.44,89,100,8.52,overcast clouds
35,Bethel,US,41.3712,-73.414,60.58,94,100,3.0,moderate rain
36,Khatanga,RU,71.9667,102.5,-7.15,100,97,3.13,overcast clouds
37,Pangnirtung,CA,66.1451,-65.7125,30.2,80,75,13.8,broken clouds
38,Lebu,CL,-37.6167,-73.65,54.54,78,0,17.43,clear sky
39,Puerto Ayora,EC,-0.7393,-90.3518,75.16,87,93,5.01,overcast clouds
40,Santa Maria,BR,-29.6842,-53.8069,85.3,37,0,4.61,clear sky
41,Brae,GB,60.3964,-1.353,53.51,95,100,23.71,overcast clouds
42,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,85,32,13.18,scattered clouds
43,Constitucion,CL,-35.3333,-72.4167,60.48,74,25,17.22,scattered clouds
44,Tabuk,PH,17.4189,121.4443,72.46,92,80,3.18,broken clouds
45,Bilibino,RU,68.0546,166.4372,-16.78,100,100,0.96,overcast clouds
46,Rapid Valley,US,44.0625,-103.1463,53.2,76,90,1.99,overcast clouds
47,Cherskiy,RU,68.75,161.3,-19.46,100,96,4.41,overcast clouds
48,Kudahuvadhoo,MV,2.6708,72.8944,80.76,78,99,11.88,overcast clouds
49,Lagoa,PT,39.05,-27.9833,69.44,88,100,28.19,overcast clouds
50,Lundazi,ZM,-12.2929,33.1782,73.96,54,0,13.53,clear sky
51,Opuwo,NA,-18.0607,13.84,69.76,24,51,5.59,broken clouds
52,Hermanus,ZA,-34.4187,19.2345,65.8,81,100,17.87,overcast clouds
53,Lasa,IT,46.6166,10.7002,39.36,84,19,4.07,few clouds
54,Avarua,CK,-21.2078,-159.775,78.85,61,20,13.8,few clouds
55,Caborca,MX,30.5838,-111.101,73.49,30,1,14.85,clear sky
56,Nanortalik,GL,60.1432,-45.2371,36.09,68,91,3.51,overcast clouds
57,Saskylakh,RU,71.9167,114.0833,0.91,98,100,1.57,overcast clouds
