City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Morro Bay,US,2021-10-20 21:29:29,35.3658,-120.8499,77.74,53,93,4.0
1,Mahibadhoo,MV,2021-10-20 21:29:30,3.7833,72.9667,81.88,70,69,12.75
2,Whitehorse,CA,2021-10-20 21:29:30,60.7161,-135.0538,41.02,48,75,11.01
3,Sungaipenuh,ID,2021-10-20 21:29:30,-2.0833,101.3833,64.92,98,100,0.6
4,Busselton,AU,2021-10-20 21:29:31,-33.65,115.3333,53.1,76,99,16.13
5,Linqiong,CN,2021-10-20 21:29:31,30.4159,103.4609,58.78,91,100,3.42
6,Vaini,TO,2021-10-20 21:29:32,-21.2,-175.2,77.16,88,75,10.36
7,La Ronge,CA,2021-10-20 21:29:32,55.1001,-105.2842,46.62,39,20,9.22
8,Severo-Kurilsk,RU,2021-10-20 21:29:33,50.6789,156.125,35.17,66,84,24.05
9,Rikitea,PF,2021-10-20 21:29:33,-23.1203,-134.9692,74.89,70,6,20.98
10,Bredasdorp,ZA,2021-10-20 21:29:34,-34.5322,20.0403,62.28,97,78,5.03
11,Punta Arenas,CL,2021-10-20 21:29:34,-53.15,-70.9167,51.91,40,40,19.57
12,Cape Town,ZA,2021-10-20 21:29:13,-33.9258,18.4232,65.26,73,0,3.0
13,Cabo San Lucas,MX,2021-10-20 21:25:58,22.8909,-109.9124,90.61,61,1,14.97
14,Porto Novo,BJ,2021-10-20 21:29:35,6.4965,2.6036,82.22,81,100,5.93
15,Lebu,CL,2021-10-20 21:25:56,-37.6167,-73.65,55.99,80,64,8.39
16,Nikolskoye,RU,2021-10-20 21:29:36,59.7035,30.7861,50.88,92,100,15.97
17,Carnarvon,AU,2021-10-20 21:29:36,-24.8667,113.6333,62.67,72,75,6.91
18,Georgetown,MY,2021-10-20 21:28:50,5.4112,100.3354,76.95,95,40,1.14
19,Barrow,US,2021-10-20 21:29:37,71.2906,-156.7887,28.42,86,90,24.16
20,Albany,US,2021-10-20 21:28:06,42.6001,-73.9662,70.45,50,58,8.43
21,Vao,NC,2021-10-20 21:29:38,-22.6667,167.4833,70.0,94,100,11.63
22,Rapid City,US,2021-10-20 21:26:51,44.0805,-103.231,48.56,83,90,1.99
23,Tuatapere,NZ,2021-10-20 21:29:38,-46.1333,167.6833,48.83,63,97,2.13
24,Mar Del Plata,AR,2021-10-20 21:28:25,-38.0023,-57.5575,62.62,1,0,18.99
25,Port Moresby,PG,2021-10-20 21:29:39,-9.4431,147.1797,78.22,89,1,3.44
26,Jamestown,US,2021-10-20 21:26:57,42.097,-79.2353,64.85,55,90,9.22
27,Skjervoy,NO,2021-10-20 21:29:40,70.0311,20.9714,31.84,76,100,26.69
28,Gao,ML,2021-10-20 21:29:40,16.6362,1.637,88.05,12,34,10.87
29,Leningradskiy,RU,2021-10-20 21:29:41,69.3833,178.4167,25.16,96,100,14.45
30,Saint-Pierre,RE,2021-10-20 21:29:41,-21.3393,55.4781,73.04,71,90,3.44
31,Alofi,NU,2021-10-20 21:29:41,-19.0595,-169.9187,78.69,65,75,20.71
32,Takoradi,GH,2021-10-20 21:29:42,4.8845,-1.7554,77.68,88,79,8.01
33,Kisangani,CD,2021-10-20 21:26:04,0.5167,25.2,70.47,95,100,0.69
34,Thompson,CA,2021-10-20 21:24:45,55.7435,-97.8558,41.16,38,75,8.05
35,Ushuaia,AR,2021-10-20 21:29:43,-54.8,-68.3,55.06,38,20,6.91
36,Talnakh,RU,2021-10-20 21:29:43,69.4865,88.3972,30.85,95,100,15.28
37,Tolaga Bay,NZ,2021-10-20 21:29:44,-38.3667,178.3,56.03,61,100,5.79
38,Walvis Bay,NA,2021-10-20 21:29:44,-22.9575,14.5053,61.09,82,15,6.91
39,Mataura,NZ,2021-10-20 21:29:45,-46.1927,168.8643,47.32,63,100,1.88
40,Pochutla,MX,2021-10-20 21:29:45,15.7432,-96.4661,85.05,78,87,2.93
41,Yermakovskoye,RU,2021-10-20 21:29:46,53.2831,92.4003,34.65,66,21,2.59
42,Narrabri,AU,2021-10-20 21:29:46,-30.3167,149.7833,60.53,67,100,12.66
43,Luanda,AO,2021-10-20 21:27:16,-8.8368,13.2343,77.0,83,75,8.05
44,Kahului,US,2021-10-20 21:26:18,20.8947,-156.47,83.46,63,20,17.27
45,Bethel,US,2021-10-20 21:29:47,41.3712,-73.414,74.91,60,69,7.09
46,Fairview,US,2021-10-20 21:28:26,40.8126,-73.999,77.54,42,1,8.05
47,Hobart,AU,2021-10-20 21:25:44,-42.8794,147.3294,53.46,84,75,4.0
48,Los Algarrobos,PA,2021-10-20 21:29:48,8.5,-82.4333,81.45,94,75,3.44
49,Verkh-Usugli,RU,2021-10-20 21:29:48,52.7,115.1667,22.05,88,11,3.53
50,Hilo,US,2021-10-20 21:29:49,19.7297,-155.09,80.33,63,40,8.05
51,Port Alfred,ZA,2021-10-20 21:27:54,-33.5906,26.891,63.54,86,22,17.83
52,Payo,ID,2021-10-20 21:29:49,-3.7508,103.6372,72.25,98,100,1.54
53,Ilinskiy,RU,2021-10-20 21:29:50,55.619,38.1182,39.88,93,90,13.42
54,Bilibino,RU,2021-10-20 21:29:50,68.0546,166.4372,-0.44,98,100,2.28
55,Hermanus,ZA,2021-10-20 21:29:50,-34.4187,19.2345,64.9,88,77,10.8
56,Saskylakh,RU,2021-10-20 21:29:51,71.9167,114.0833,6.98,99,99,5.66
57,The Valley,AI,2021-10-20 21:29:51,18.217,-63.0578,82.09,89,40,10.36
58,Leh,IN,2021-10-20 21:29:52,34.1667,77.5833,42.17,39,0,4.47
59,Campo Grande,BR,2021-10-20 21:29:52,-20.4428,-54.6464,83.75,34,40,3.44
60,Upernavik,GL,2021-10-20 21:29:53,72.7868,-56.1549,32.92,99,100,11.63
61,Taksimo,RU,2021-10-20 21:29:53,56.3444,114.8794,29.25,76,95,4.68
62,Guerrero Negro,MX,2021-10-20 21:25:00,27.9769,-114.0611,71.29,58,76,12.82
63,San Policarpo,PH,2021-10-20 21:29:54,12.1791,125.5072,79.84,83,87,4.83
64,Avarua,CK,2021-10-20 21:29:54,-21.2078,-159.775,77.05,65,40,9.22
65,Port Elizabeth,ZA,2021-10-20 21:29:54,-33.918,25.5701,62.89,94,40,9.22
66,Hailar,CN,2021-10-20 21:29:55,49.2,119.7,22.21,95,52,2.73
67,Chokurdakh,RU,2021-10-20 21:29:55,70.6333,147.9167,-16.38,96,94,2.71
68,Qaanaaq,GL,2021-10-20 21:29:56,77.484,-69.3632,17.1,93,71,3.8
69,Batemans Bay,AU,2021-10-20 21:29:56,-35.7167,150.1833,62.98,88,97,4.72
70,Ambon,ID,2021-10-20 21:29:57,-3.6954,128.1814,77.14,88,20,5.75
71,Ribeira Grande,PT,2021-10-20 21:29:57,38.5167,-28.7,64.8,82,20,5.75
72,East London,ZA,2021-10-20 21:29:57,-33.0153,27.9116,63.97,83,35,14.03
73,Saldanha,ZA,2021-10-20 21:29:58,-33.0117,17.9442,59.05,85,64,16.4
74,Saint-Philippe,RE,2021-10-20 21:29:58,-21.3585,55.7679,72.95,79,42,11.23
75,Ornskoldsvik,SE,2021-10-20 21:29:59,63.2909,18.7153,40.15,93,90,3.44
76,Cleves,DE,2021-10-20 21:26:26,51.7833,6.15,60.33,71,98,12.48
77,Lewiston,US,2021-10-20 21:29:59,44.1003,-70.2148,61.14,66,46,1.83
